id;title;company;link
job-item-5460933;(Big) Data Engineer (m/w/d);Sopra Steria;stepstone.de/stellenangebote--Big-Data-Engineer-m-w-d-bundesweit-Berlin-Frankfurt-am-Main-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--5460933-inline.html
job-item-7778286;Data Protection Engineer (f/m/d);Vattenfall;stepstone.de/stellenangebote--Data-Protection-Engineer-f-m-d-Hamburg-Berlin-Stockholm-Solna-Umea-Goeteborg-Varberg-Trollhaettan-Vattenfall--7778286-inline.html
job-item-7780085;Software Developer Cloud Live Data Services- Automated Driving (m/f/d);CARIAD;stepstone.de/stellenangebote--Software-Developer-Cloud-Live-Data-Services-Automated-Driving-m-f-d-Berlin-Wolfsburg-Ingolstadt-CARIAD--7780085-inline.html
job-item-7688563;Data Scientist (m/w/d) – Vertriebsmodelle;Sparkassen Rating und Risikosysteme GmbH;stepstone.de/stellenangebote--Data-Scientist-m-w-d-Vertriebsmodelle-Berlin-Sparkassen-Rating-und-Risikosysteme-GmbH--7688563-inline.html
job-item-7735829;Business Intelligence Data Engineer / Developer (m/f/d);Thermondo GmbH;stepstone.de/stellenangebote--Business-Intelligence-Data-Engineer-Developer-m-f-d-Berlin-Thermondo-GmbH--7735829-inline.html
job-item-7778422;Data Scientist / Statistiker/in / Epidemiologe/in (w(m/d);Bundesinstitut für Risikobewertung;stepstone.de/stellenangebote--Data-Scientist-Statistiker-in-Epidemiologe-in-wm-d-Berlin-Bundesinstitut-fuer-Risikobewertung--7778422-inline.html
job-item-7688548;Data Scientist (m/w/d) – Marketing Automatisierung;Sparkassen Rating und Risikosysteme GmbH;stepstone.de/stellenangebote--Data-Scientist-m-w-d-Marketing-Automatisierung-Berlin-Sparkassen-Rating-und-Risikosysteme-GmbH--7688548-inline.html
job-item-7046712;Data Analyst (m/w/d) Analytics & Insights;UNICEPTA GmbH;stepstone.de/stellenangebote--Data-Analyst-m-w-d-Analytics-Insights-Koeln-Berlin-UNICEPTA-GmbH--7046712-inline.html
job-item-5785688;Data Scientist Natural Language Processing Public Sector (m/w/d);Sopra Steria;stepstone.de/stellenangebote--Data-Scientist-Natural-Language-Processing-Public-Sector-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--5785688-inline.html
job-item-7735857;Data Analyst -Media & Marketing intelligence (f/m/d);Heineken Deutschland GmbH;stepstone.de/stellenangebote--Data-Analyst-Media-Marketing-intelligence-f-m-d-Berlin-Heineken-Deutschland-GmbH--7735857-inline.html
